ID, me,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
115063,Fulvia Stevenin,F,18,171,65,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Slalom, 
87533,Sven Olof Nylander,M,34,194,85,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles, 
34888,"Javier ""Xavi"" Fernndez Fernndez",M,24,194,84,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball, 
131483,Kelly Wood (-Schafer),F,24,154,58,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Curling,Curling Women's Curling, 
57059,Nikolay Andreyevich Kamensky,M,28,167,68,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual", 
36616,Yves Fraisse,M,20,186,87,France,FRA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours, 
97598,Mohamed Yuhdi Wijaya Purnomo,M,22,167,60,Indonesia,INA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay, 
97075,Valery Viktorovich Priyemko,M,25,177,78,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual", 
93447,Vclav Peina,M,22,170,62,Czechoslovakia,TCH,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres, 
94183,Jozef Petrulk,M,19,173,70,Slovakia,SVK,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay, 
54162,Jaime Jefferson Guilarte,M,30,187,75,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump, 
21598,Luigi Cimnaghi,M,28,170,66,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horse Vault, 
36290,Ivar Formo,M,24,188,78,Norway,NOR,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres, 
2909,"Ian Alistair ""Al"" Allison",M,27,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver
106241,Tamara Savi-otra,F,24,,,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's epee, Individual", 
78480,Ingeborg Mello de Preiss,F,33,169,70,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's Discus Throw, 
27650,Taylor Phillip Dent,M,23,187,88,United States,USA,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles, 
93912,Amy Eileen Peterson (-Peck),F,22,163,63,United States,USA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres", 
21679,Sorana Mihaela Crstea,F,18,175,63,Romania,ROU,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles, 
77710,Robert Tait McKenzie,M,65,,,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event", 
26014,Vasco de Carvalho,M,30,163,,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights, 
122208,Tsang Yi Ming,M,22,176,64,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
78089,Kirils Medjancevs,M,21,182,72,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Team, 
89673,Alexander Os,M,30,184,72,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres, 
87331,Carmen Beln Nez Oller,F,22,158,54,Spain,ESP,1980 Summer,1980,Summer,Moskva,Diving,Diving Women's Springboard, 
11841,"Spyridon ""Spyros"" Bitsakis",M,19,200,86,Greece,GRE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle, 
14784,Fruzsina Brvik,F,21,181,83,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo, 
20376,Cheng Shao-Chieh,F,22,158,47,Chinese Taipei,TPE,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles, 
46284,Calvin Norris Hartley,M,20,186,76,South Africa,RSA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual, 
34760,Leo Ciriaco Diago Fernandes,M,26,177,64,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey, 
68410,Martti Alvari Lehtev,M,29,173,64,Finland,FIN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Welterweight, 
